Country,year,Very,Somewhat,Not_too,Not_all,DK
USA,2021,27,33,22,17,1
USA,2015,30,29,17,24,1
Canada,2021,34,34,19,12,0
Canada,2015,27,37,21,14,0
Belgium,2021,29,39,21,11,0
France,2021,41,36,14,8,0
France,2015,35,44,13,8,0
Germany,2021,37,38,10,13,1
Germany,2015,18,42,25,15,0
Greece,2021,57,30,7,6,0
Italy,2021,42,38,15,5,0
Italy,2015,37,44,14,4,1
Netherlands,2021,16,43,25,16,0
Spain,2021,46,35,13,6,0
Spain,2015,36,35,18,10,0
Sweden,2021,15,29,37,19,0
UK,2021,37,34,15,14,0
UK,2015,19,27,29,23,1
Australia,2021,34,30,21,14,0
Australia,2015,18,35,26,20,0
Japan,2021,26,48,21,5,0
Japan,2015,34,48,14,3,1
New Zealand,2021,27,39,22,11,0
Singapore,2021,38,38,17,7,0
S Korea,2021,45,43,9,2,0
S Korea,2015,32,57,9,2,0
Taiwan,2021,28,44,19,8,1
